model,training_time_seconds,prediction_time_seconds
Perceptron,0.006516899913549423,0.0019192998297512531
LogisticRegression,0.012060499982908368,0.0024216000456362963
SVM,0.9183258002158254,0.2665862999856472
KNN,0.001522500067949295,0.06114229978993535
NaiveBayes,0.005115699954330921,0.0037996999453753233
DecisionTree,0.010434499941766262,0.0021310001611709595
RandomForest,0.3875669001135975,0.09840300003997982
