model,rmse_train,r2_train,rmse_test,r2_test,train_sample
RandomForestRegressor,18485.98723876593,0.9744709212085707,48110.07097977644,0.822408327745096,16512
KNeighborsRegressor,53482.294846131306,0.7863170288171595,59422.62488992229,0.7290717663429447,16512
LinearRegression,68160.92435491859,0.6529270327402139,66803.13890772291,0.6575916553584118,16512
DecisionTreeRegressor,0.0,1.0,70467.1512426816,0.6190008288436282,16512
SVR_RBF,114054.03101903849,0.01874277683733694,112953.01786903168,0.021082079157065836,4000
