model,f1_cv_mean,f1_cv_std,roc_auc_cv_mean,roc_auc_cv_std
RandomForest,0.7243560740754318,0.02358573966351695,0.9407226715524588,0.008604315060523112
NaiveBayes,0.42660213546633435,0.017397898478051895,0.7392565322990854,0.03467275471660513
LogisticRegression,0.3848989106131963,0.03718108931247649,0.8126010412180624,0.014253582790344468
Perceptron,0.3575153721510412,0.08754346644900095,0.7108501477437648,0.037805201278852
SVC,0.3547999475272202,0.027828697199933177,0.9192527526144547,0.013502169342286567
KNN,0.3436658831481104,0.047024629759066516,0.8305098578821983,0.022091338538792853
DecisionTree,0.2726577367275202,0.04906234218399987,0.7078914612318868,0.016586882060869272
