model,accuracy_test,precision_test,recall_test,f1_test,roc_auc_test
RandomForest,0.9160997732426304,0.7524752475247525,0.7136150234741784,0.7325301204819277,0.9516008966713192
SVC,0.8805744520030234,0.9104477611940298,0.2863849765258216,0.4357142857142857,0.9148796684007953
NaiveBayes,0.8253968253968254,0.45161290322580644,0.39436619718309857,0.42105263157894735,0.762593579494988
Perceptron,0.8125472411186697,0.41025641025641024,0.3755868544600939,0.39215686274509803,0.7345810599331726
LogisticRegression,0.8556311413454271,0.6222222222222222,0.26291079812206575,0.3696369636963696,0.809237406420505
KNN,0.8314436885865457,0.4609375,0.27699530516431925,0.3460410557184751,0.8748614811995093
DecisionTree,0.8510959939531368,0.7222222222222222,0.12206572769953052,0.20883534136546184,0.7289726346064374
