model,precision_test,recall_test,f1_test
RandomForest,0.7524752475247525,0.7136150234741784,0.7325301204819277
SVC,0.9104477611940298,0.2863849765258216,0.4357142857142857
NaiveBayes,0.45161290322580644,0.39436619718309857,0.42105263157894735
Perceptron,0.41025641025641024,0.3755868544600939,0.39215686274509803
LogisticRegression,0.6222222222222222,0.26291079812206575,0.3696369636963696
KNN,0.4609375,0.27699530516431925,0.3460410557184751
DecisionTree,0.7222222222222222,0.12206572769953052,0.20883534136546184
